SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,HOA/MONTH,STATUS,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,LATITUDE,LONGITUDE
PAST SALE,February-3-2017,Single Family Residential,1302 NW Woodbine Wy,Seattle,WA,98177,843000,4,2.75,Blue Ridge,3212,16623,1952,21,,Sold,http://www.redfin.com/WA/Seattle/1302-NW-Woodbine-Way-98177/home/288324,NWMLS,1032381,47.7073831,-122.3726346
PAST SALE,November-23-2016,Single Family Residential,18621 Springdale Ct NW,Seattle,WA,98177,795000,4,2.75,Innis Arden,3020,30000,1951,93,65,Sold,http://www.redfin.com/WA/Shoreline/18621-Springdale-Ct-NW-98177/home/76891,NWMLS,1024435,47.765361,-122.373852
PAST SALE,November-30-2016,Single Family Residential,12708 1st Ave NW,Seattle,WA,98177,579950,3,1.5,Broadview,1830,8280,1951,86,,Sold,http://www.redfin.com/WA/Seattle/12708-1st-Ave-NW-98177/home/95400,NWMLS,1034571,47.721764,-122.357847
PAST SALE,December-9-2016,Single Family Residential,14000 Northwood Place NW,Seattle,WA,98177,925000,3,2,Broadview,2137,48787,1959,77,,Sold,http://www.redfin.com/WA/Seattle/14000-Northwood-Pl-NW-98177/home/288339,NWMLS,1019138,47.730752,-122.362743
PAST SALE,September-30-2016,Single Family Residential,633 NW 120th St,Seattle,WA,98177,979000,4,2.75,Broadview,3970,33955,1948,147,,Sold,http://www.redfin.com/WA/Seattle/633-NW-120th-St-98177/home/291469,NWMLS,960904,47.715657,-122.364737
PAST SALE,September-14-2016,Single Family Residential,11546 3rd Place NW,Seattle,WA,98177,730000,4,2.5,Broadview,2350,7528,1966,163,,Sold,http://www.redfin.com/WA/Seattle/11546-3rd-Pl-NW-98177/home/290752,NWMLS,975936,47.713687,-122.361259
PAST SALE,September-9-2016,Single Family Residential,11027 Palatine Ave N,Seattle,WA,98133,525000,3,1.5,Broadview,1900,7560,1947,168,,Sold,http://www.redfin.com/WA/Seattle/11027-Palatine-Ave-N-98133/home/95701,NWMLS,1020750,47.709544,-122.357201
PAST SALE,November-21-2016,Single Family Residential,18532 3rd Place NW,Seattle,WA,98177,430000,6,2,Richmond Beach,2330,7773,1963,95,,Sold,http://www.redfin.com/WA/Shoreline/18532-3rd-Pl-NW-98177/home/75954,NWMLS,1032206,47.7641175,-122.3622809
PAST SALE,September-30-2016,Single Family Residential,11051 Palatine Ave N,Seattle,WA,98133,725000,4,3,Greenwood,3500,7951,1948,147,,Sold,http://www.redfin.com/WA/Seattle/11051-Palatine-Ave-N-98133/home/96794,NWMLS,1004095,47.71012,-122.357207
PAST SALE,January-19-2017,Single Family Residential,654 NW 137th St,Seattle,WA,98177,1495000,3,3.25,Broadview,4214,22718,1947,36,,Sold,http://www.redfin.com/WA/Seattle/654-NW-137th-St-98177/home/288536,NWMLS,1042226,47.729018,-122.365896
